lncrna	Interacting partner	Interaction Class	Interaction Mode	Organism	Description	Tissue	Phenotype	Method	Pubmed id
1700003M07Rik	Pou5f1	DNA-TF	Binding	Mus musculus	Only two Oct4 and two Nanog targets fit these stringent criteria, namely AK005651, AK028326 (Gomafu; synonym: Miat), AK043754, and AK141205	mESC	NULL	ChIP	20026622
2310010G23Rik	Mir361	RNA-RNA	Binding	Mus musculus	MDRL can directly bind to miR-361 and act as an endogenous sponge which downregulates miR-361 expression levels and promotes the processing of pri-miR-484.	NULL	NULL	pull-down assay	25057983
2700046G09Rik	Mir23a	RNA-RNA	Binding	Mus musculus	miR-23a is facilitating AGO2 association with PTEN or 2700046G09Rik.	mouse brain	NULL	qPCR, Western blot, RIP.	24101522
Dubr	Myod1	DNA-TF	Binding	Mus musculus	Dum is also transcriptionally induced by MyoD binding upon myoblast differentiation.	C2C12 mouse myoblast cells	Dum is associated with active myogenesis in vitro and in vivo.	ChIP-PCR assay	25686699
5730457N03Rik	H3f3a	RNA-Protein	Binding	Mus musculus	Evx1as associates with trimethylated H3K4 histones and MLL1, suggesting a role in epigenetic regulation of homeotic loci during ES cell differentiation	embryonic stem cell	ES cell differentiation	RNA-ChIP	18562676
5730457N03Rik	Kmt2a	RNA-Protein	Binding	Mus musculus	Evx1as associates with trimethylated H3K4 histones and MLL1, suggesting a role in epigenetic regulation of homeotic loci during ES cell differentiation	embryonic stem cell	ES cell differentiation	RNA-ChIP	18562676
Mirt1	Lgals3	RNA-Protein	Regulation	Mus musculus	Lgals3, which encodes the lectin galactoside-binding soluble 3, was significantly correlated with MIRT1 and MIRT2. 	NULL	NULL	Microarray and In situ hybridization	24917243
Mirt1	Nppb	RNA-Protein	Regulation	Mus musculus	Nppb, the gene which encodes BNP, was correlated with MIRT1 and showed a 4-fold increase in expression after MI	NULL	NULL	Microarray and In situ hybridization	24917243
91H	Igf2	RNA-DNA	Regulation	Mus musculus	91H RNA up-regulate Igf2 expression	Myoblasts	Igf2 gene activation	In vitro	22662250
A130040M12Rik	Sfpq	RNA-Protein	Binding	Mus musculus	VL30-1 RNA binds and releases PSF from Rab23.	NULL	NULL	RIP	19805375
A130040M12Rik	Sfpq	RNA-Protein	Binding	Mus musculus	Binding of mouse VL30 (A130040M12Rik) retrotransposon RNA to PSF protein induces genes repressed by PSF: effects on steroidogenesis and oncogenesis.	NULL	NULL	In vitro	14704271
Airn	Ehmt2	RNA-Protein	Binding	Mus musculus	Airrecruitment of G9a to the Slc22a3 promoter is required for gene silencing.	heart	NULL	RNA IP	18988810
Airn	Slc22a3	RNA-DNA	Binding	Mus musculus	Air accumulates at the Slc22a3 promoter.	heart	NULL	RNA-DNA FISH	18988810
Airn	Igf2r	DNA-DNA	Regulation	Mus musculus	Igf2r silencing by Airn during late differentiation is accompanied by low-level H3K9me3, but not DNA methylation, on the Igf2r promoter.	mouse embryonic stem cell (ESC)	Airn acts alone to silence Igf2r and that the somatic methylation imprint,	Bisulfite sequencing, qRT-PCR and ChIP 	23444351
Airn	Igf2r	DNA-DNA	Regulation	Mus musculus	silencing only required Airn transcriptional overlap of the Igf2r promoter, which interferes with RNA polymerase II recruitment in the absence of repressive chromatin. 	mouse embryonic stem cell (ESC)	NULL	RT-qPCR,FISH and ChIP 	23239737
Airn	Igf2r	DNA-DNA	Regulation	Mus musculus	These data indicate that high levels of Airn driven from the exogenous PGK promoter can silence Igf2r in cis, 	ES cell lines	NULL	qPCR, Western blot	19008856
AK081227	Mecp2	DNA-TF	Binding	Mus musculus	Mecp2 binding to the 5'end genomic loci of the lncRNAs AK081227 and AK087060	frontal cortex, hypothalamus, thalamus and cerebellum	NULL	ChIP	23611944
AK087060	Mecp2	DNA-TF	Binding	Mus musculus	Mecp2 binding to the 5'end genomic loci of the lncRNAs AK081227 and AK087060	frontal cortex, hypothalamus, thalamus and cerebellum	NULL	ChIP	23611944
Arid2-IR	Smad3	DNA-TF	Binding	Mus musculus	the promoter region of Arid2-IR contained a Smad3 binding site and deletion of Smad3 gene completely blocked upregulation of Arid2-IR in the UUO kidney	NULL	promote NF-κB-dependent renal inflammation	ChIP and In Situ Hybridization	25743111
AS Uchl1	Nr4a2	DNA-TF	Regulation	Mus musculus	AS Uchl1 expression is under the regulation of Nurr1, a major transcription factor involved in dopaminergic cells' differentiation and maintenance	brain 	NULL	ChIP	25883552
Bc1	Arc	RNA-RNA	Binding	Mus musculus	BC1 RNA would bind to MAP1B, alpha-CamKII, and Arc mRNAs regulated by FMRP.	NULL	NULL	in vitro	12581522
Bc1	Camk2a	RNA-RNA	Binding	Mus musculus	BC1 RNA would bind to MAP1B, alpha-CamKII, and Arc mRNAs regulated by FMRP.	NULL	NULL	in vitro	12581522
Bc1	Map1b	RNA-RNA	Binding	Mus musculus	BC1 RNA would bind to MAP1B, alpha-CamKII, and Arc mRNAs regulated by FMRP.	NULL	NULL	in vitro	12581522
Bc1	Eif4a1	RNA-Protein	Binding	Mus musculus	BC1 RNA binds to eIF4A with high affinity	brain	NULL	EMSA	18316401
Bc1	Pabpc1	RNA-Protein	Binding	Mus musculus	BC200 RNA and G22 RNA bind common protein partners, SRP9/14 and PABP	brain	NULL	RIP	17175535
Bc1	Srp14	RNA-Protein	Binding	Mus musculus	BC200 RNA and G22 RNA bind common protein partners, SRP9/14 and PABP	brain	NULL	RIP	17175535
Bc1	Srp9	RNA-Protein	Binding	Mus musculus	BC200 RNA and G22 RNA bind common protein partners, SRP9/14 and PABP	brain	NULL	RIP	17175535
Bc1	Eif4a1	RNA-Protein	Binding	Mus musculus	An interaction of the 3'BC1 domain with eIF4A and PABP is responsible for BC1-mediated repression of translation initiation.	Oocytes	inhibit a rate-limitingstep in the assembly of translation initiation complexes.	EMSA	16330711
Bc1	Pabpc1	RNA-Protein	Binding	Mus musculus	An interaction of the 3'BC1 domain with eIF4A and PABP is responsible for BC1-mediated repression of translation initiation.	Oocytes	inhibit a rate-limitingstep in the assembly of translation initiation complexes.	EMSA	16330711
Bc1	Fmr1	RNA-Protein	Binding	Mus musculus	Immunoprecipitation(in vivo) and electrophoretic mobility shift assays(in vitro) experiments indicated that FMRP binds directly to BC1.	NULL	NULL	RNA IP	12581522
Bc1	Eif4a1	RNA-Protein	Binding	Mus musculus	eIF4A and PABP interact directly with BC1 RNA	brain	NULL	EMSA	12451124
Bc1	Pabpc1	RNA-Protein	Binding	Mus musculus	eIF4A and PABP interact directly with BC1 RNA	brain	NULL	EMSA	12451124
Bc1	Arhgef28	RNA-Protein	Binding	Mus musculus	In vivo experiments indicated that BC1 bind to a site in the C-terminal domain of p190RhoGEF.	NULL	NULL	RNA IP	12215442
Bc1	Pabpc1	RNA-Protein	Binding	Mus musculus	PABP binding to BC1 and BC200 RNAsin vitro	brain	NULL	EMSA	12162957
Bc1	Pura	RNA-Protein	Binding	Mus musculus	Experiments demonstrated that the single-stranded DNA- and RNA-binding protein pur alpha and its isoform, pur beta, linked BC1 RNA to microtubules (MTs).	NULL	NULL	In vitro	11032866
